#{"t_start": 1772341269.333074, "env_id": "None"}
r,l,t
15.8935,500,3455.45559
-0.70308,500,3470.724771
-6.162219,500,3485.942791
-2.884103,500,3501.182122
10.273558,500,3526.997023
3.410424,500,3542.349746
-5.256762,500,3557.654788
-117.321482,500,3571.289637
-166.819752,503,3584.70517
-38.200775,500,3610.048906
-41.521756,500,3625.096475
-10.982989,500,3640.423171
10.397279,500,3655.651731
-3.2374,500,3681.115065
-7.565254,500,3696.30384
1.083245,500,3711.612798
6.902351,500,3726.860958
3.623929,500,3752.494702
-6.688689,500,3767.814306
21.169205,500,3782.983379
38.509707,500,3798.198626
3.482994,500,3823.864685
9.172526,500,3839.176073
43.243059,500,3854.376988
-3.91155,500,3869.632499
10.1585,500,3894.960048
4.920788,500,3910.167902
4.789372,500,3925.548506
-1.828519,500,3940.817419
44.095154,500,3966.146262
137.121286,500,3981.423185
60.978196,500,3996.674195
-34.165609,500,4011.847974
-9.977189,500,4037.892536
-230.043244,500,4050.840121
-318.821149,502,4063.000924
-356.259059,501,4074.731844
-323.228519,500,4096.6299
-242.768153,500,4109.091892
-265.506261,501,4121.468028
-192.775507,500,4134.317114
-73.503406,500,4159.28195
-150.002415,500,4172.496758
-166.324698,500,4185.555689
-101.05494,500,4199.682208
-259.685477,500,4222.14948
-104.678067,500,4236.389852
-159.992676,501,4249.511979
-119.428628,500,4263.203194
-121.609715,500,4286.954906
6.9495,500,4302.288856
5.78064,500,4317.644806
-0.15583,500,4333.014934
-10.20045,500,4348.271702
-3.369321,500,4373.895932
12.099791,500,4389.222018
8.463947,500,4404.493133
64.306343,500,4419.731684
96.45987,500,4444.996859
8.48113,500,4460.212855
3.450916,500,4475.4372
-10.842494,500,4490.653267
5.359497,500,4516.307834
8.83526,500,4531.492146
44.129341,500,4546.609628
84.922876,500,4562.042629
-85.513391,500,4587.360402
-9.282561,500,4602.606062
10.881279,500,4617.971823
-0.596171,500,4633.244238
30.060958,500,4658.472908
-13.172399,500,4673.91554
-9.412365,500,4689.450667
-3.630602,500,4707.369394
-9.391731,500,4734.798945
-2.636427,500,4750.064143
5.70361,500,4765.338154
2.124174,500,4780.790588
5.299337,500,4806.340578
1.199412,500,4821.549819
5.346249,500,4836.798043
0.810948,500,4852.097263
1.613481,500,4877.373275
-3.867434,500,4892.706282
2.725071,500,4907.968304
9.834522,500,4923.380847
62.573361,500,4948.928233
76.840281,500,4964.196141
-5.116946,500,4979.530441
-8.455503,500,4994.77384
49.840551,500,5020.332113
116.092045,500,5035.677136
29.286137,500,5050.877487
53.483311,500,5066.201782
91.022552,500,5081.379914
146.253855,513,5107.0871
37.165285,500,5122.3861
114.035081,500,5137.614176
92.585836,500,5152.759856
93.399928,500,5177.899166
0.829939,500,5193.110795
-5.40629,500,5208.359269
-1.591917,500,5223.615593
5.407312,500,5249.306692
-6.379598,500,5264.645398
0.003678,500,5279.966536
-1.137558,500,5295.266226
4.073904,500,5320.241985
-1.500605,500,5335.650135
5.879813,500,5350.924468
-0.465827,500,5366.073367
0.376501,500,5391.347548
5.288333,500,5406.483485
1.585963,500,5421.76105
23.331832,500,5436.98876
127.614638,500,5462.347835
47.43811,500,5477.605044
11.46768,500,5492.718452
-5.707489,500,5507.97049
2.307448,500,5533.448109
-2.428199,500,5548.725858
12.301886,500,5564.030205
22.368644,500,5579.310804
-0.560628,500,5604.849966
1.580857,500,5620.045648
-32.131166,500,5634.642806
3.472691,500,5649.849829
-39.727216,500,5674.621511
-31.293051,500,5689.470159
8.058637,500,5704.745015
-10.779171,500,5720.011642
-11.099008,500,5745.071831
-0.943367,500,5760.454184
-68.373949,500,5774.83519
-30.258932,500,5789.738389
-49.560705,500,5814.590584
-0.210303,500,5829.941891
4.943936,500,5845.195015
13.223284,500,5860.382836
-0.16508,500,5875.558155
3.609593,500,5900.75631
14.175808,500,5915.910245
0.823193,500,5931.11773
-19.971343,500,5946.424244
1.249775,500,5971.949852
1.889703,500,5987.234999
6.969024,500,6002.542133
11.096585,500,6017.844845
0.851805,500,6043.082149
-1.504416,500,6058.458141
-11.255465,500,6073.723115
